"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance","Referenced in"
"428.6","014533897","Monograph","Language material ; Text","Volume","GBB207839","","9780194789745 ; 9780194790512","Bassett, Jennifer","","person","author","Mistry, Nilesh, illustrator [person] ; Bassett, Jennifer, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Oxford bookworms library. Classics. Stage 2","","England","Oxford","Oxford University Press","2008","2nd edition","56 pages, illustrations, 20 cm","YK.2012.a.3010","Readers (Elementary)","","English","Originally published: 2000","",""
"428.6","016707876","Monograph","Language material ; Text","Volume","GBB447086","","9780723288008","Bird, Nicola","","person","author","Bird, Nicola, author [person]","Alice in Wonderland","","Read it yourself with Ladybird. Level 4","","England","London","Ladybird","2014","","47 pages, 23 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Reader","English","","",""
"428.6","016707877","Monograph","Language material ; Text","Volume","GBB447087","","9780723288022","Bird, Nicola","","person","author","Carroll, Lewis, 1832-1898 [person] ; Bird, Nicola, author [person]","Alice in Wonderland","","Read it yourself with Ladybird. Level 4","","England","London","Ladybird","2014","","1 volume, 17 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Reader","English","","",""
"428.6","017433992","Monograph","Language material ; Still image ; Text","Volume","GBB587555","","9780008127879","Chichester Clark, Emma","","person","author ; illustrator","Chichester Clark, Emma, author ; illustrator [person]","Alice in Wonderland","","Collins big cat","","England","London","Collins","2015","","49 pages, illustrations, 21 cm","","","Children's fiction ; Reader","English","Sapphire, Band 16","",""
"428.6","018057616","Monograph","Language material ; Still image ; Text","Volume","GBB6E0918","","9780198367710","Heddle, Rebecca","","person","author","Heddle, Rebecca, author [person] ; Pagliaro, Alberto, 1972-, artist [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Project X. Origins","","England","Oxford","Oxford University Press","2016","","40 pages, chiefly colour illustrations, 26 cm","","Alice, (Fictitious character from Carroll)--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel ; Reader","English","Dark red book Band, Oxford level 18","",""
"428.6","018435241","Monograph","Language material ; Text","Volume","","","9780241284315","","","","","","Alice in Wonderland - Ladybird Readers Level 4","","","","England","","Booksite Afrika ; Ladybird ; Penguin ; Simon & Schuster ; United Book","2017","","64 pages, 23 x 16 x 1 cm","","","","English","paperback","",""
"428.6","018435246","Monograph","Language material ; Text","Volume","","","9780241284360","","","","","","Alice in Wonderland Activity Book - Ladybird Readers Level 4","","","","England","","Booksite Afrika ; Ladybird ; Penguin ; United Book","2017","","16 pages, 29 x 19 x 0 cm","","","","English","EU Toy Safety Directive hazard warning; Carries EU Toy Safety Directive hazard warning as specified. WARNING! Not suitable for children under the age of 36 months due to small parts. Choking hazard ; paperback","",""
"428.64","007684220","Monograph","Language material ; Text","Volume","GB7521463","","9780195807134","Croft, Richard","","person","author","Croft, Richard, author [person] ; Owen, Carol, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Oxford progressive English readers. grade 1","","England ; Hong Kong","London","Oxford University Press","1975","","6, 72 pages, colour illustrations, 22 cm","","English language--Readers--For non-English speaking students ; Readers--1950- ; English language--Text-books for foreign speakers","","English","","",""
"428.64","010056150","Monograph","Language material ; Text","Volume","GB8728233","","9780333433430","Green, Margery","","person","author","Green, Margery, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Stories to remember. Senior series","","England","London","Macmillan","1986","","90 pages, 19 cm","YK.1987.a.2892","Readers--1950- ; English language--Text-books for foreign speakers ; English language--For non-English speaking students--Texts","","English","","",""
"428.64","011944240","Monograph","Language material ; Text","Volume","GBA224303","","9780194230193","Bassett, Jennifer","","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Bassett, Jennifer, author [person] ; Carroll, Lewis, 1832-1898 [person]","Through the looking-glass : and what Alice found there","Through the looking-glass","Oxford bookworms library. Classics. Stage 3","","England","Oxford","Oxford University Press","2000","2nd edition","72 pages, illustrations, 20 cm","YK.2002.a.6435","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy ; Reader","English","Previous edition: 1995","",""
"428.64","012596105","Monograph","Language material ; Text","Volume","GB9422647","","9780195852684","","","","","Carroll, Lewis, 1832-1898 [person]","Through the looking glass","Through the looking-glass","Oxford progressive english readers. Grade 2","","England ; Hong Kong","Oxford","Oxford University Press","1992","","73 pages, illustrations, 21 cm","H.94/1039","English language--Reading books","","English","","",""
"428.64","013945153","Monograph","Language material ; Still image ; Text","Volume","GBB525423","","9780195462388","","","","","Chan, K. Y., illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Through the looking glass","Through the looking-glass","Oxford progressive English readers. Level 2","","England","Oxford","Oxford University Press","2007","Second edition","vii, 76 pages, colour illustrations, 20 cm","YK.2013.a.1007","","Reader","English","Previous edition: 1992","",""
"428.64","019495424","Monograph","Language material ; Still image ; Text","Volume","GBB9D4613","","9781474958028","Mackinnon, Mairi","","person","author","Carroll, Lewis, 1832-1898 [person] ; Mackinnon, Mairi, author [person]","Alice in Wonderland","Alice's adventures in Wonderland","Usborne English readers. Level 2","","England","London","Usborne","2019","","1 volume, colour illustrations, 24 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Reader","English","","",""
"492.482421","013296375","Monograph","Language material ; Text","Volume","GBA579250","","9780300108415 ; 9780300113341","Lotan, Jonathan","","person","","Lotan, Jonathan [person]","Learn to write the Hebrew script : aleph through the looking glass","From A to aleph","","","England ; United States of America","London ; New Haven","Yale University Press","2006","","xii, 158 pages, illustrations, 21 cm","","Hebrew language--Writing","","English","Originally published under title: From A to aleph","",""
"510","008126132","Monograph","Language material ; Text","Volume","GB9567679","","9780930326098","Dodgson, Charles Lutwidge","1832-1898","person","","Dodgson, Charles Lutwidge, 1832-1898 [person] ; Lewis Carroll Society of North America [organisation] ; Abeles, Francine F. [person]","The mathematical pamphlets of Charles Lutwidge Dodgson and related pieces","","The pamphlets of Lewis Carroll","volume 2 [The pamphlets of Lewis Carroll]","England ; United States of America","London ; New York","Lewis Carroll Society of North America","1994","","xvi, 420 pages, illustrations, facsimiles, portraits, 24 cm","96/10174 ; YA.1995.b.7980","Mathematics","","English","bibliography: p405-411. - Includes index","",""
"511.3","015651394","Monograph","Language material ; Text","Volume","GBB0C4214","","9780930326258","Dodgson, Charles Lutwidge","1832-1898","person","","Dodgson, Charles Lutwidge, 1832-1898 [person] ; Abeles, Francine F., 1935- [person]","The logic pamphlets of Charles Lutwidge Dodgson and related pieces","","The pamphlets of Lewis Carroll","volume 4 [The pamphlets of Lewis Carroll]","United States of America","Charlottesville ; New York","Lewis Carroll Society of North America ; University Press ; Virginia","2010","","xx, 271 pages, illustrations, 24 cm","YD.2010.a.15628 ; YD.2010.a.16377","Mathematics--Philosophy ; Logic, Symbolic and mathematical","","English","","",""
"511.3","018922564","Monograph","Language material ; Text","Volume","GBB8C0788","","9789813208674","Nitsa, Movshovitz-Hadar","","person","author","Nitsa, Movshovitz-Hadar, author [person]","Logic in Wonderland : an introduction to logic through reading Alice's Adventures in Wonderland. Student's workbook","","","","Singapore","","World Scientific Publishing","2019","","ix, 242 pages","","Carroll, Lewis, 1832-1898 ; Logic, Symbolic and mathematical--Problems, exercises, etc","Problems and exercises","English","","",""
"511.3071","018922562","Monograph","Language material ; Text","Volume","GBB8C0786","","9789813208629 ; 9789813209817","Movshovitz-Hadar, Nitsa","","person","author","Movshovitz-Hadar, Nitsa, author [person] ; Shriki, Atara, author [person]","Logic in Wonderland : an introduction to logic through reading Alice in Wonderland. Teacher's guidebook","","","","Singapore","","World Scientific Publishing","2019","","ix, 315 pages","","Logic, Symbolic and mathematical--Study and teaching ; Carroll, Lewis, 1832-1898 ; Logic, Symbolic and mathematical--Problems, exercises, etc","Problems and exercises","English","","",""
